,State,Zip Code,Date,Fuel,Latitude,Longitude
92,NC,28451,11/1/2022,BEV,34.201645,-78.04511
93,NC,28451,1/1/2022,BEV,34.201645,-78.04511
94,NC,28451,10/1/2020,BEV,34.201645,-78.04511
95,NC,28451,11/1/2020,BEV,34.201645,-78.04511
96,NC,28451,4/1/2021,BEV,34.201645,-78.04511
97,NC,28451,12/1/2022,BEV,34.201645,-78.04511
98,NC,28451,12/1/2022,BEV,34.201645,-78.04511
99,NC,28451,2/1/2023,BEV,34.201645,-78.04511
100,NC,28451,4/1/2023,BEV,34.201645,-78.04511
101,NC,28451,7/1/2023,BEV,34.201645,-78.04511
102,NC,28451,7/1/2023,BEV,34.201645,-78.04511
103,NC,28451,1/1/2022,BEV,34.201645,-78.04511
104,NC,28451,8/1/2022,BEV,34.201645,-78.04511
105,NC,28451,8/1/2022,BEV,34.201645,-78.04511
106,NC,28451,11/1/2022,BEV,34.201645,-78.04511
107,NC,28451,6/1/2022,BEV,34.201645,-78.04511
108,NC,28451,10/1/2022,BEV,34.201645,-78.04511
109,NC,28451,6/1/2022,BEV,34.201645,-78.04511
110,NC,28451,9/1/2020,BEV,34.201645,-78.04511
111,NC,28451,6/1/2021,BEV,34.201645,-78.04511
112,NC,28451,7/1/2020,BEV,34.201645,-78.04511
113,NC,28451,8/1/2020,BEV,34.201645,-78.04511
114,NC,28451,2/1/2021,BEV,34.201645,-78.04511
115,NC,28451,1/1/2021,BEV,34.201645,-78.04511
116,NC,28451,11/1/2022,BEV,34.201645,-78.04511
117,NC,28451,5/1/2023,BEV,34.201645,-78.04511
118,NC,28451,3/1/2023,BEV,34.201645,-78.04511
119,NC,28451,6/1/2023,BEV,34.201645,-78.04511
120,NC,28451,7/1/2023,BEV,34.201645,-78.04511
121,NC,28451,7/1/2023,BEV,34.201645,-78.04511
122,NC,28451,7/1/2023,BEV,34.201645,-78.04511
123,NC,28451,10/1/2022,BEV,34.201645,-78.04511
124,NC,28451,9/1/2023,BEV,34.201645,-78.04511
125,NC,28451,11/1/2022,BEV,34.201645,-78.04511
126,NC,28451,11/1/2022,BEV,34.201645,-78.04511
127,NC,28451,11/1/2022,BEV,34.201645,-78.04511
128,NC,28451,11/1/2022,BEV,34.201645,-78.04511
129,NC,28451,6/1/2023,BEV,34.201645,-78.04511
130,NC,28451,11/1/2022,BEV,34.201645,-78.04511
131,NC,28451,2/1/2021,BEV,34.201645,-78.04511
132,NC,28451,7/1/2022,BEV,34.201645,-78.04511
133,NC,28451,4/1/2023,BEV,34.201645,-78.04511
134,NC,28451,3/1/2021,BEV,34.201645,-78.04511
