latitude,longitude,street_address,state,city,Zip Code,country,id,open_date,fuel_type_code
35.632542,-85.852605,5917 Manchester Hwy,TN,Morrison,37357,US,52600,2013-06-01,ELEC
35.140771,-89.834205,518 Pine Lake Dr,TN,Memphis,38134,US,52834,2016-09-01,ELEC
36.148816,-86.799577,124 21st Ave S,TN,Nashville,37212,US,52836,2012-08-31,ELEC
36.583614,-87.314186,2655 Trenton Rd,TN,Clarksville,37040,US,53986,2013-04-01,ELEC
35.203552,-89.799194,7925 Stage Rd,TN,Memphis,38133,US,53987,2013-04-01,ELEC
36.104589,-86.761033,4013 Armory Oaks Dr,TN,Nashville,37204,US,62273,2014-06-27,ELEC
35.910873,-86.384511,3401 Memorial Blvd,TN,Murfreesboro,37129,US,62332,2014-07-01,ELEC
36.532847,-87.349204,311 Ford St,TN,Clarksville,37040,US,62789,2014-08-05,ELEC
36.137258,-86.788609,1441 12th Ave S,TN,Nashville,37203,US,62807,2014-08-07,ELEC
36.15557,-86.813431,2500 Charlotte Ave,TN,Nashville,37203,US,63039,2014-08-26,ELEC
35.649166,-87.011382,1510 Nashville Hwy,TN,Columbia,38401,US,63441,2011-04-05,ELEC
35.03095,-85.305742,301 E 20th St,TN,Chattanooga,37408,US,63597,2013-09-01,ELEC
36.153934,-86.767472,1st Ave S,TN,Nashville,37210,US,64552,2014-12-09,ELEC
36.176117,-86.762044,621 Howerton St,TN,Nashville,37206,US,68034,2015-06-25,ELEC
36.160453,-86.774698,150 3rd Ave S 150 3rd Ave South,TN,Nashville,37201,US,68143,2015-06-27,ELEC
35.832754,-83.570439,1641 Parkway,TN,Sevierville,37862,US,68198,2015-07-09,ELEC
36.12718,-86.84697,4324 Harding Pike,TN,Nashville,37205,US,68381,2011-03-16,ELEC
35.668125,-88.84297,495 Vann Dr,TN,Jackson,38305,US,68421,2015-04-01,ELEC
36.156447,-86.815539,524b 26th Ave N,TN,Nashville,37209,US,70728,2015-10-29,ELEC
35.322918,-84.52522,801 Tennessee Ave,TN,Etowah,37331,US,73225,2014-11-01,ELEC
36.06949,-86.936094,720 Baugh Rd,TN,Nashville,37221,US,73707,2016-02-26,ELEC
36.091731,-86.826441,1630 Harding Pl,TN,Nashville,37215,US,74075,2016-03-08,ELEC
36.079471,-86.908649,200 Erin Ln,TN,Nashville,37221,US,75502,2016-05-01,ELEC
35.05385,-85.31132,215 Broad St,TN,Chattanooga,37402,US,75629,2016-05-14,ELEC
35.061201,-85.30598,200 River St,TN,Chattanooga,37405,US,75630,2016-05-14,ELEC
35.062618,-85.305176,305 Frazier Ave,TN,Chattanooga,37405,US,75631,2016-05-14,ELEC
35.038031,-85.307156,1398 Market Street,TN,Chattanooga,37402,US,75671,2016-05-19,ELEC
35.009534,-85.328442,3917 St Elmo Ave,TN,Chattanooga,37409,US,75696,2016-05-21,ELEC
36.17576,-86.784768,1100 3rd Ave N,TN,Nashville,37208,US,76199,2016-06-08,ELEC
35.023738,-85.160777,1751 Gunbarrel Road,TN,Chattanooga,37421,US,77360,2016-08-06,ELEC
