latitude,longitude,street_address,state,city,zip,country,id,open_date,fuel_type_code
44.469281,-73.154972,1200 Airport Dr,VT,South Burlington,05403,US,32973,2004-01-15,ELEC
44.4459288,-73.1136314,78 Marshall Avenue,VT,Williston,05495,US,195422,2011-09-28,ELEC
44.426201,-73.211998,1675 Shelburne Rd,VT,South Burlington,05403,US,49408,2011-10-01,ELEC
43.1768201,-73.0572148,4869 Main Street,VT,Manchester,05255,US,195003,2012-01-10,ELEC
44.015999,-73.165412,14 Seminary St,VT,Middlebury,05753,US,44012,2012-03-01,ELEC
44.478,-73.21038,82 S Winooski Ave,VT,Burlington,05401,US,49404,2012-05-01,ELEC
44.438669,-73.2108,1095 Shelburne Rd,VT,South Burlington,05403,US,49756,2012-10-25,ELEC
44.438669,-73.2108,1095 Shelburne Rd,VT,South Burlington,05403,US,49757,2012-10-25,ELEC
44.178505,-73.244996,75 Meigs Rd,VT,Vergennes,05491,US,50726,2013-01-31,ELEC
43.821682,-72.520904,164 Chelsea St,VT,Royalton,05068,US,51109,2013-02-22,ELEC
44.51551,-72.374511,222 Route 15,VT,Hardwick,05843,US,52134,2013-05-15,ELEC
44.46322,-72.687544,2 Park Pl,VT,Stowe,05672,US,53700,2013-11-22,ELEC
44.4628534,-73.1799462,222 Dorset Street,VT,South Burlington,05403,US,147880,2013-12-17,ELEC
44.408287,-73.218887,3328 Shelburne Rd,VT,Shelburne,05482,US,58295,2014-01-20,ELEC
44.2304,-72.552045,1504 US Route 302,VT,Barre,05641,US,60906,2014-02-01,ELEC
44.469281,-73.154972,1200 Airport Dr,VT,South Burlington,05403,US,27036,2014-04-01,ELEC
44.124263,-72.882637,1496 W Hill Rd,VT,Warren,05674,US,67249,2014-04-01,ELEC
44.015117,-73.16972,137 Maple Street,VT,Middlebury,05753,US,147910,2014-05-05,ELEC
44.478917,-73.217428,45 Cherry St,VT,Burlington,05401,US,61605,2014-05-06,ELEC
44.463243,-73.215921,585 Pine St,VT,Burlington,05401,US,61626,2014-05-08,ELEC
43.607584,-73.1796,178 Alumni Dr,VT,Castleton,05735,US,61790,2014-05-21,ELEC
42.8546448,-72.560528,30 Grove Street,VT,Guilford,05301,US,148073,2014-06-03,ELEC
42.851318,-72.559928,77 Flat St,VT,Brattleboro,05301,US,62283,2014-06-03,ELEC
44.294322,-72.682833,961 US-2,VT,Middlesex,05602,US,61931,2014-06-03,ELEC
43.1724777,-72.6091448,92 Main Street,VT,Grafton,05146,US,148063,2014-08-28,ELEC
44.197094,-73.362238,4800 Basin Harbor Rd,VT,Vergennes,05491,US,116064,2014-08-28,ELEC
44.4457643,-72.0096979,1315 Hospital Drive,VT,St Johnsbury,05819,US,223749,2014-09-03,ELEC
42.884941,-72.555587,1147 Putney Rd,VT,Brattleboro,05301,US,63731,2014-09-15,ELEC
43.627083,-72.79483,228 E Mountain Rd,VT,Killington,05751,US,63550,2014-10-01,ELEC
44.562497,-72.597235,13-43 Pleasant St,VT,Morristown,05661,US,63944,2014-10-29,ELEC
44.810808,-73.083917,15 Lake St,VT,St. Albans,05478,US,64136,2014-11-01,ELEC
43.099621,-72.7036059,311 Lawrence Dr,VT,Townshend,05359,US,116063,2014-11-20,ELEC
44.124163,-72.882596,1496 W Hill Rd,VT,Warren,05674,US,116067,2014-12-20,ELEC
43.173882,-73.0282218,1614 Depot Street,VT,Manchester,05255,US,195572,2014-12-26,ELEC
42.838443,-72.565798,499 Canal Street,VT,Brattleboro,05301,US,102481,2015-02-01,ELEC
44.46684488,-73.18260951,155 Dorset Street,VT,South Burlington,05403,US,195304,2015-02-04,ELEC
