State,zip,Registration Date,Vehicle Make,Vehicle Model,Vehicle Model Year,Drivetrain Type,Vehicle GVWR Class,Vehicle Category,Vehicle Count,DMV Snapshot ID,DMV Snapshot (Date),Latest DMV Snapshot Flag
VT,05040,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05743,1/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05251,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05401,3/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05151,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05477,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05346,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05401,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05040,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05843,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05257,1/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05257,3/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05036,3/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05746,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05448,3/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05058,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05046,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05873,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05151,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05677,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
