State,Zip Code,Date,Fuel,Vehicle Count,Latitude,Longitude
VT,05660,10/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05819,10/1/2023,BEV,1,44.4457643,-72.0096979
VT,05701,1/1/2023,BEV,1,43.573814,-72.966623
VT,05148,10/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05046,3/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05843,6/1/2023,BEV,1,44.51551,-72.374511
VT,05473,10/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05873,3/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05663,10/1/2023,BEV,1,44.138007,-72.662515
VT,05040,3/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05154,10/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05058,6/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05471,6/1/2023,BEV,1,44.8790152738439,-72.6110029220581
VT,05036,1/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05001,10/1/2023,BEV,1,43.6441426,-72.3397487
VT,05250,10/1/2023,BEV,1,43.055454,-73.15505
VT,05151,3/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05873,10/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05843,1/1/2023,BEV,1,44.51551,-72.374511
VT,05777,6/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05257,6/1/2023,BEV,1,42.932062,-73.242035
VT,05046,10/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05036,6/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05602,1/1/2023,BEV,1,44.294322,-72.682833
VT,05448,6/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05408,6/1/2023,BEV,1,44.506328,-73.246245
VT,05843,3/1/2023,BEV,1,44.51551,-72.374511
VT,05746,3/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05701,6/1/2023,BEV,1,43.573814,-72.966623
VT,05451,3/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05873,1/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05819,6/1/2023,BEV,1,44.4457643,-72.0096979
VT,05743,3/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05408,10/1/2023,BEV,1,44.506328,-73.246245
VT,05151,1/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05257,10/1/2023,BEV,1,42.932062,-73.242035
VT,05040,1/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05777,10/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05701,3/1/2023,BEV,1,43.573814,-72.966623
VT,05408,3/1/2023,BEV,1,44.506328,-73.246245
VT,05471,1/1/2023,BEV,1,44.8790152738439,-72.6110029220581
VT,05040,10/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05743,1/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05251,6/1/2023,BEV,1,43.233306,-73.081222
VT,05401,3/1/2023,BEV,1,44.478,-73.21038
VT,05151,10/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05477,10/1/2023,BEV,1,44.402789,-72.995071
VT,05346,10/1/2023,BEV,1,42.987289,-72.554252
VT,05401,6/1/2023,BEV,1,44.478,-73.21038
VT,05040,6/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05843,10/1/2023,BEV,1,44.51551,-72.374511
VT,05257,1/1/2023,BEV,1,42.932062,-73.242035
VT,05257,3/1/2023,BEV,1,42.932062,-73.242035
VT,05036,3/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05746,10/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05448,3/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05058,10/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05046,6/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05873,6/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05151,6/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05677,10/1/2023,BEV,1,44.395347,-72.719512
VT,05001,6/1/2023,BEV,1,43.6441426,-72.3397487
VT,05451,1/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05471,10/1/2023,BEV,1,44.8790152738439,-72.6110029220581
VT,05401,1/1/2023,BEV,1,44.478,-73.21038
VT,05773,1/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05448,10/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05471,3/1/2023,BEV,1,44.8790152738439,-72.6110029220581
VT,05048,10/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05033,10/1/2023,BEV,1,43.984518,-72.123057
VT,05036,10/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05743,10/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05743,6/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05478,10/1/2023,BEV,1,44.810808,-73.083917
VT,05746,6/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05468,1/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05491,6/1/2023,BEV,1,44.178505,-73.244996
VT,05477,10/1/2023,BEV,1,44.402789,-72.995071
VT,05255,6/1/2023,BEV,1,43.1671505,-73.0687762
VT,05819,1/1/2023,BEV,1,44.4457643,-72.0096979
VT,05760,10/1/2023,BEV,1,44.089596059757845,-72.8963926328107
VT,05761,10/1/2023,BEV,1,44.089596059757845,-72.8963926328107
